"from","to","combined_score"
"BBS9","MKKS",969
"BBS9","MKKS",969
"CD4","CRP",739
"CD4","CRP",739
"GDF15","CRP",620
"GDF15","CRP",620
"BBS9","TMEM231",350
"BBS9","TMEM231",350
"BBS9","IFT172",678
"BBS9","IFT172",678
"MKKS","IFT172",323
"MKKS","IFT172",323
"TMEM231","IFT172",469
"TMEM231","IFT172",469
"BBS9","ARL3",557
"BBS9","ARL3",557
"TMEM231","ARL3",382
"TMEM231","ARL3",382
"IFT172","ARL3",385
"IFT172","ARL3",385
"BBS9","B9D1",437
"BBS9","B9D1",437
"TMEM231","B9D1",991
"TMEM231","B9D1",991
"IFT172","B9D1",585
"IFT172","B9D1",585
"ARL3","B9D1",422
"ARL3","B9D1",422
"TMEM231","CSPP1",731
"TMEM231","CSPP1",731
"IFT172","CSPP1",547
"IFT172","CSPP1",547
"B9D1","CSPP1",664
"B9D1","CSPP1",664
"BBS9","BBS4",999
"BBS9","BBS4",999
"MKKS","BBS4",968
"MKKS","BBS4",968
"IFT172","BBS4",692
"IFT172","BBS4",692
"ARL3","BBS4",463
"ARL3","BBS4",463
"B9D1","BBS4",357
"B9D1","BBS4",357
"RTN2","SPG7",510
"RTN2","SPG7",510
"LMNB1","SPG7",433
"LMNB1","SPG7",433
"SPG7","AFG3L2",685
"SPG7","AFG3L2",685
"CD4","REN",387
"CD4","REN",387
"CRP","REN",740
"CRP","REN",740
"BBS9","WDPCP",602
"BBS9","WDPCP",602
"MKKS","WDPCP",556
"MKKS","WDPCP",556
"IFT172","WDPCP",457
"IFT172","WDPCP",457
"BBS4","WDPCP",565
"BBS4","WDPCP",565
"CD4","ACE",530
"CD4","ACE",530
"GDF15","ACE",341
"GDF15","ACE",341
"CRP","ACE",855
"CRP","ACE",855
"REN","ACE",967
"REN","ACE",967
"BBS9","BBS5",999
"BBS9","BBS5",999
"MKKS","BBS5",968
"MKKS","BBS5",968
"TMEM231","BBS5",357
"TMEM231","BBS5",357
"IFT172","BBS5",756
"IFT172","BBS5",756
"ARL3","BBS5",751
"ARL3","BBS5",751
"B9D1","BBS5",568
"B9D1","BBS5",568
"BBS4","BBS5",999
"BBS4","BBS5",999
"WDPCP","BBS5",603
"WDPCP","BBS5",603
"CD4","MERTK",400
"CD4","MERTK",400
"CD4","ALB",852
"CD4","ALB",852
"GDF15","ALB",426
"GDF15","ALB",426
"CRP","ALB",921
"CRP","ALB",921
"LMNB1","ALB",549
"LMNB1","ALB",549
"SEMA3A","ALB",377
"SEMA3A","ALB",377
"CACNA1C","ALB",393
"CACNA1C","ALB",393
"REN","ALB",841
"REN","ALB",841
"ACE","ALB",859
"ACE","ALB",859
"SEMA3A","SLMAP",417
"SEMA3A","SLMAP",417
"CACNA1C","SLMAP",514
"CACNA1C","SLMAP",514
"BBS9","LZTFL1",992
"BBS9","LZTFL1",992
"MKKS","LZTFL1",544
"MKKS","LZTFL1",544
"TMEM231","LZTFL1",363
"TMEM231","LZTFL1",363
"IFT172","LZTFL1",516
"IFT172","LZTFL1",516
"ARL3","LZTFL1",360
"ARL3","LZTFL1",360
"B9D1","LZTFL1",379
"B9D1","LZTFL1",379
"BBS4","LZTFL1",979
"BBS4","LZTFL1",979
"WDPCP","LZTFL1",619
"WDPCP","LZTFL1",619
"BBS5","LZTFL1",990
"BBS5","LZTFL1",990
"BBS9","IFT122",447
"BBS9","IFT122",447
