"from_geneSymbol","to_geneSymbol","combined_score"
"CFTR","ADRB2",993
"CFTR","SRC",826
"CFTR","SCNN1G",838
"CFTR","EDN1",917
"CFTR","PSMB1",911
"CFTR","CLCN2",786
"CFTR","SCNN1A",871
"CFTR","CCL11",905
"CFTR","CLCNKA",673
"CFTR","F2",913
"CFTR","HSP90AB1",862
"CFTR","KRT8",941
"CFTR","SLC12A2",822
"CFTR","PRKAR2A",923
"CFTR","CTNNB1",702
"CYP51A1","HMGCR",978
"CYP51A1","CYB5R3",734
"CYP51A1","SQLE",994
"CYP51A1","NSDHL",997
"CYP51A1","HSD17B7",994
"CYP51A1","POR",958
"CYP51A1","CYB5A",835
"CYP51A1","PPIG",685
"SLC7A2","ARG2",675
"SLC7A2","RENBP",676
"CD4","TLR8",724
"CD4","SELE",716
"CD4","SYK",975
"CD4","CCL11",687
"CD4","PTPN11",951
"CD4","CD86",995
"CD4","VCAM1",738
"CD4","CSF2",873
"CD4","CD52",708
"CD4","STAT5B",760
"CD4","CD19",918
"CD4","CD44",946
"CD4","CCR2",931
"CD4","PTK2",771
"CD4","CD33",740
"CD4","ALB",852
"CD4","MME",692
"CD4","CRP",739
"CD4","SERPINB2",686
"CD4","GAPDH",736
"CD4","B3GAT1",804
"CD4","CD1A",776
"CD4","CTNNB1",678
"CD4","TP53",671
"CD4","IL2RA",884
"CD4","IL15",868
"CD4","IFNB1",740
"CD4","FLT3",693
"CD4","FCGR3B",904
"CD4","FCGR2A",832
"CD4","KIT",745
"CD4","CASP3",677
"CD4","IL13",879
"CD4","TNFSF13B",710
"CD4","CD3E",984
"CD4","AKT1",697
"CD4","TLR9",806
"CD4","CXCL10",825
"CD4","LGALS3",682
"CD4","SRC",895
"CD4","ITK",987
"CD4","NT5E",675
"CD4","IL2RG",764
"CD4","DPP4",786
"CD4","IL3",694
"CD4","CD40",988
"CD4","CD3D",982
"CD4","LCK",999
"CD4","CCR5",999
"CD4","TLR4",940
"CD4","APOA1",766
"CD4","IFNG",941
"CD4","MPO",694
"CD4","CD40LG",906
"PPP5C","ESR2",700
"PPP5C","PTGES3",984
"PPP5C","HRAS",911
"PPP5C","ARAF",922
"PPP5C","BRAF",909
"PPP5C","HSP90AB1",987
"SCTR","RAMP3",896
"SCTR","AGTR1",832
"OTC","ARG2",986
"OTC","NOS3",926
"OTC","NAGS",989
"OTC","ASL",979
"OTC","ASS1",999
"C8G","ORM1",691
"CYP26A1","CYP3A4",940
"CYP26A1","ADH1B",918
"CYP26A1","ALDH1A3",973
"CYP26A1","RDH12",936
"CYP26A1","CYP4A11",929
"CYP26A1","ALDH1A1",967
"CYP26A1","ADH4",936
"CYP26A1","ADH7",939
"CYP26A1","LRAT",959
"CYP26A1","RETSAT",930
"CYP26A1","ADH1C",926
"CYP26A1","RARG",688
"CYP26A1","RARB",739
"CYP26A1","CYP2C9",771
"CYP26A1","ADH5",932
"CYP26A1","CYP2A6",933
"PPIF","SLC25A5",961
"PPIF","CCR5",803
"PPIF","VDAC2",943
"PPIF","PRKCE",852
"PPIF","HSP90AB1",713
"PPIF","VDAC3",974
"PPIF","CYCS",959
"PPIF","TP53",992
"MPO","CRP",805
"MPO","MMP9",727
"MPO","PADI4",708
"MPO","ALB",887
"MPO","CD33",774
"MPO","TLR4",716
"MPO","APOA1",959
"MPO","PTGS1",933
"MPO","RNASE3",867
"MPO","KIT",688
"MPO","CAT",769
"MPO","CD4",694
"MPO","ANPEP",749
"PNPO","DDC",821
"PNPO","PSAT1",767
"PNPO","PDXK",991
"IFNG","PTGES3",902
"IFNG","IL13",885
"IFNG","CCL11",736
"IFNG","CD86",816
"IFNG","CD3E",699
"IFNG","PTPN11",934
"IFNG","IFNB1",806
"IFNG","PTPN1",914
"IFNG","CSF3R",670
"IFNG","FCGR2A",677
"IFNG","CD19",767
"IFNG","CD44",760
"IFNG","IFNAR1",952
"IFNG","CXCL10",872
"IFNG","TLR9",704
"IFNG","CD4",941
"IFNG","CSF2",862
"IFNG","IFNAR2",886
"IFNG","CD40",804
"IFNG","MMP9",661
"IFNG","IL3",747
"IFNG","CRP",747
"IFNG","SERPINB2",694
"IFNG","CCR5",716
"IFNG","IL2RG",787
"IFNG","IL13RA2",753
"IFNG","PIK3R1",909
"IFNG","LEPR",695
"IFNG","ALB",740
"IFNG","PDGFRB",724
"IFNG","IL15",813
"IFNG","IL2RA",911
"IFNG","TLR4",798
"IFNG","CD40LG",874
"GAPDH","G6PD",975
"GAPDH","FOS",686
"GAPDH","GLUL",724
"GAPDH","HSP90AB1",853
"GAPDH","NME1",866
"GAPDH","CD44",712
"GAPDH","IGF1",687
"GAPDH","PRDX2",676
"GAPDH","NOS3",707
"GAPDH","TUBA1A",670
"GAPDH","PKLR",819
"GAPDH","ALB",875
"GAPDH","PTK2",670
"GAPDH","PLAUR",814
"GAPDH","CYCS",825
"GAPDH","SOD1",777
"GAPDH","AR",852
"GAPDH","MMP9",768
"GAPDH","CTNNB1",868
"GAPDH","HRAS",683
"GAPDH","SDHB",725
"GAPDH","TP53",901
"GAPDH","MDM2",725
"GAPDH","IFNB1",681
"GAPDH","TXNRD1",788
"GAPDH","CASP3",883
"GAPDH","H6PD",963
"GAPDH","SRC",697
"GAPDH","ERBB2",782
"GAPDH","CXCL10",679
"GAPDH","AKT1",913
"GAPDH","CD4",736
"GAPDH","MDH1",750
"GAPDH","CAT",759
"GAPDH","HPRT1",859
"GAPDH","PPIB",679
"GAPDH","CHEK1",691
"GAPDH","SNCA",952
"GAPDH","RHOA",677
"GAPDH","HIF1A",718
"GAPDH","SHMT1",865
"GAPDH","GRIA2",937
"GAPDH","TLR4",732
"GAPDH","BCL2L1",732
"GAPDH","MAP2K1",685
"GAPDH","CDK4",699
"LEPRE1","PPIB",997
"LEPRE1","COL3A1",752
"CTSD","SNCA",690
"CTSD","BCL2L1",728
"CTSD","TPO",905
"CTSD","EEA1",696
"CTSD","CTSF",707
"CTSD","CTSL",939
"CTSD","CTSK",827
"CTSD","SUCLG2",696
"MMP8","TIMP3",693
"MMP8","ALB",671
"APOA1","AMN",779
"APOA1","ME1",900
"APOA1","MPO",959
"APOA1","ABCA1",999
"APOA1","SCARB1",997
"APOA1","HSPG2",672
"APOA1","ALB",987
"APOA1","CRP",813
